Bioreactor,Condition,Replicate,Day,Strain,Type,Agar,Count,Dilution_factor
,chemostat,4,0,MG1655,inoculation,LB,192,5
,chemostat,4,0,MG1655,inoculation,RIF,0,1
,chemostat,4,0,R2,inoculation,LB,94,5
,chemostat,4,0,R2,inoculation,RIF,106,5
,chemostat,4,0,R19,inoculation,LB,109,5
,chemostat,4,0,R19,inoculation,RIF,83,5
,chemostat,4,0,R36,inoculation,LB,102,5
,chemostat,4,0,R36,inoculation,RIF,119,5
,chemostat,4,0,CONTROL,inoculation,LB,0,1
,chemostat,4,0,CONTROL,inoculation,RIF,0,1
M0,chemostat,4,1,R19,competition,LB,406,5
M0,chemostat,4,1,R19,competition,RIF,320,4
M1,chemostat,4,1,R36,competition,LB,546,5
M1,chemostat,4,1,R36,competition,RIF,489,5
M2,chemostat,4,1,R36,monoculture,LB,438,5
M2,chemostat,4,1,R36,monoculture,RIF,458,5
M3,chemostat,4,1,R2,monoculture,LB,447,5
M3,chemostat,4,1,R2,monoculture,RIF,443,5
M4,chemostat,4,1,MG1655,monoculture,LB,415,5
M4,chemostat,4,1,MG1655,monoculture,RIF,0,1
M5,chemostat,4,1,R19,monoculture,LB,295,5
M5,chemostat,4,1,R19,monoculture,RIF,248,5
M6,chemostat,4,1,R2,competition,LB,437,5
M6,chemostat,4,1,R2,competition,RIF,254,5
M7,chemostat,4,1,CONTROL,CONTROL,LB,0,1
M7,chemostat,4,1,CONTROL,CONTROL,RIF,0,1
M0,chemostat,4,2,R19,competition,LB,290,5
M0,chemostat,4,2,R19,competition,RIF,80,4
M1,chemostat,4,2,R36,competition,LB,268,5
M1,chemostat,4,2,R36,competition,RIF,251,5
M2,chemostat,4,2,R36,monoculture,LB,243,5
M2,chemostat,4,2,R36,monoculture,RIF,271,5
M3,chemostat,4,2,R2,monoculture,LB,266,5
M3,chemostat,4,2,R2,monoculture,RIF,307,5
M4,chemostat,4,2,MG1655,monoculture,LB,289,5
M4,chemostat,4,2,MG1655,monoculture,RIF,0,1
M5,chemostat,4,2,R19,monoculture,LB,119,5
M5,chemostat,4,2,R19,monoculture,RIF,125,5
M6,chemostat,4,2,R2,competition,LB,291,5
M6,chemostat,4,2,R2,competition,RIF,234,5
M7,chemostat,4,2,CONTROL,CONTROL,LB,0,1
M7,chemostat,4,2,CONTROL,CONTROL,RIF,0,1
M0,chemostat,4,3,R19,competition,LB,414,5
M0,chemostat,4,3,R19,competition,RIF,132,3
M1,chemostat,4,3,R36,competition,LB,352,5
M1,chemostat,4,3,R36,competition,RIF,305,5
M2,chemostat,4,3,R36,monoculture,LB,290,5
M2,chemostat,4,3,R36,monoculture,RIF,261,5
M3,chemostat,4,3,R2,monoculture,LB,304,5
M3,chemostat,4,3,R2,monoculture,RIF,300,5
M4,chemostat,4,3,MG1655,monoculture,LB,210,5
M4,chemostat,4,3,MG1655,monoculture,RIF,0,1
M5,chemostat,4,3,R19,monoculture,LB,84,5
M5,chemostat,4,3,R19,monoculture,RIF,70,5
M6,chemostat,4,3,R2,competition,LB,294,5
M6,chemostat,4,3,R2,competition,RIF,255,5
M7,chemostat,4,3,CONTROL,CONTROL,LB,0,1
M7,chemostat,4,3,CONTROL,CONTROL,RIF,0,1
