experiment_replicate,day,time,ID,OD,OD_control
dd6,2,b,M0,0.105,0
dd6,2,b,M1,0.459,0
dd6,2,b,M2,0.229,0
dd6,2,b,M3,0.198,0
dd6,2,b,M4,0.253,0
dd6,2,b,M5,0.083,1
dd6,2,b,M6,0.157,0
dd6,2,b,M7,0.202,0
dd6,2,a,M0,0.1,0
dd6,2,a,M1,0.456,0
dd6,2,a,M2,0.228,0
dd6,2,a,M3,0.189,0
dd6,2,a,M4,0.247,0
dd6,2,a,M5,0.082,1
dd6,2,a,M6,0.148,0
dd6,2,a,M7,0.188,0
dd6,3,b,M0,0.111,0
dd6,3,b,M1,0.438,0
dd6,3,b,M2,0.195,0
dd6,3,b,M3,0.154,0
dd6,3,b,M4,0.252,0
dd6,3,b,M5,0.083,1
dd6,3,b,M6,0.157,0
dd6,3,b,M7,0.199,0
dd7,1,b,M0,0.112,0
dd7,1,b,M1,0.235,0
dd7,1,b,M2,0.083,1
dd7,1,b,M3,0.214,0
dd7,1,b,M4,0.317,0
dd7,1,b,M5,0.086,0
dd7,1,b,M6,0.237,0
dd7,1,b,M7,0.254,0
dd7,2,b,M0,0.165,0
dd7,2,b,M1,0.243,0
dd7,2,b,M2,0.082,1
dd7,2,b,M3,0.22,0
dd7,2,b,M4,0.3,0
dd7,2,b,M5,0.086,0
dd7,2,b,M6,0.236,0
dd7,2,b,M7,0.261,0
dd7,3,b,M0,0.202,0
dd7,3,b,M1,0.244,0
dd7,3,b,M2,0.083,1
dd7,3,b,M3,0.267,0
dd7,3,b,M4,0.276,0
dd7,3,b,M5,0.1,0
dd7,3,b,M6,0.236,0
dd7,3,b,M7,0.28,0
dd7,4,b,M0,0.194,0
dd7,4,b,M1,0.245,0
dd7,4,b,M2,0.084,1
dd7,4,b,M3,0.255,0
dd7,4,b,M4,0.257,0
dd7,4,b,M5,0.106,0
dd7,4,b,M6,0.234,0
dd7,4,b,M7,0.276,0
