experiment_replicate,day,time,ID,OD,OD_control
dd2,2,b,M0,0.2625,0
dd2,2,b,M1,0.2664,0
dd2,2,b,M2,0.2444,0
dd2,2,b,M3,0.2225,0
dd2,2,b,M4,0.2576,0
dd2,2,b,M5,0.2698,0
dd2,2,b,M6,0.239,0
dd2,2,b,M7,0.2272,0
dd2,2,b,media,0.08,1
dd3,4,b,M0,0.2456,0
dd3,4,b,M1,0.2487,0
dd3,4,b,M2,0.1358,0
dd3,4,b,M3,0.2148,0
dd3,4,b,M4,0.0802,0
dd3,4,b,M5,0.2185,0
dd3,4,b,M6,0.2097,0
dd3,4,b,M7,0.1766,0
dd3,4,b,media,0.0828,1
dd3,6,b,M2,0.1901,0
dd3,6,b,M7,0.2284,0
dd3,6,b,blank,0.0829,1
dd4,1,b,M0,0.0828,0
dd4,1,b,M1,0.3202,0
dd4,1,b,M2,0.0906,0
dd4,1,b,M3,0.3134,0
dd4,1,b,M4,0.2069,0
dd4,1,b,M5,0.1021,0
dd4,1,b,M6,0.0819,1
dd4,1,b,M7,0.1568,0
dd4,0,b,ctrl_onc,0.0856,0
dd4,0,b,wild_type_onc,0.4134,0
dd4,0,b,blank,0.0707,1
dd4,2,b,M0,0.1002,0
dd4,2,b,M1,0.2737,0
dd4,2,b,M2,0.099,0
dd4,2,b,M3,0.2959,0
dd4,2,b,M4,0.2143,0
dd4,2,b,M5,0.1198,0
dd4,2,b,M6,0.0802,0
dd4,2,b,M7,0.2029,0
dd4,2,b,blank,0.0814,1
dd4,3,b,M0,0.1171,0
dd4,3,b,M1,0.2478,0
dd4,3,b,M2,0.109,0
dd4,3,b,M3,0.267,0
dd4,3,b,M4,0.1741,0
dd4,3,b,M5,0.145,0
dd4,3,b,M6,0.0824,1
dd4,3,b,M7,0.2114,0
dd4,4,b,M0,0.1305,0
dd4,4,b,M1,0.2328,0
dd4,4,b,M2,0.1109,0
dd4,4,b,M3,0.2418,0
dd4,4,b,M4,0.1676,0
dd4,4,b,M5,0.1779,0
dd4,4,b,M6,0.0809,0
dd4,4,b,M7,0.1865,0
dd4,4,b,blank,0.0822,1
