cell,bioreactor,absorb_600,read_date,read_time
A1,M0,0.0828,26/06/2024,13:15:00
A2,M1,0.3202,26/06/2024,13:15:00
A3,M2,0.0906,26/06/2024,13:15:00
A4,M3,0.3134,26/06/2024,13:15:00
A5,M4,0.2069,26/06/2024,13:15:00
A6,M5,0.1021,26/06/2024,13:15:00
A7,M6,0.0819,26/06/2024,13:15:00
A8,M7,0.1568,26/06/2024,13:15:00
A1,ctrl_onc,0.0856,25/06/2024,13:00
A2,wild_type_onc,0.4134,25/06/2024,13:00
A3,blank,0.0707,25/06/2024,13:00
A1,M0,0.1002,27/06/2024,14:00
A2,M1,0.2737,27/06/2024,14:00
A3,M2,0.099,27/06/2024,14:00
A4,M3,0.2959,27/06/2024,14:00
A5,M4,0.2143,27/06/2024,14:00
A6,M5,0.1198,27/06/2024,14:00
A7,M6,0.0802,27/06/2024,14:00
A8,M7,0.2029,27/06/2024,14:00
A9,blank,0.0814,27/06/2024,14:00
A1,M0,0.1171,28/06/2024,16:30
A2,M1,0.2478,28/06/2024,16:30
A3,M2,0.109,28/06/2024,16:30
A4,M3,0.267,28/06/2024,16:30
A5,M4,0.1741,28/06/2024,16:30
A6,M5,0.145,28/06/2024,16:30
A7,M6,0.0824,28/06/2024,16:30
A8,M7,0.2114,28/06/2024,16:30
A1,M0,0.1305,29/06/2024,14:45
A2,M1,0.2328,29/06/2024,14:45
A3,M2,0.1109,29/06/2024,14:45
A4,M3,0.2418,29/06/2024,14:45
A5,M4,0.1676,29/06/2024,14:45
A6,M5,0.1779,29/06/2024,14:45
A7,M6,0.0809,29/06/2024,14:45
A8,M7,0.1865,29/06/2024,14:45
A9,blank,0.0822,29/06/2024,14:45
