exp_start_date,experiment_rep,day_measured,bioreactor,media bottle,species,inflow_setting,outflow_setting,volume_out_round,volume_out_full,time_elapsed_round,time_elapsed_full
23/04/2024,dd1,,M0,1,e.coli,0.0001,0.01,12.6,12.6,10,10
23/04/2024,dd1,,M1,1,e.coli,0.00075,0.01,42.2,42.2,10,10
23/04/2024,dd1,,M2,1,e.coli,0.001,0.01,81,81,10,10
23/04/2024,dd1,,M3,1,e.coli,0.0025,0.01,163,163,10,10
23/04/2024,dd1,,M4,2,control,0.0001,0.01,9.5,9.5,10,10
23/04/2024,dd1,,M5,2,e.coli,0.00025,0.01,19.2,19.2,10,10
23/04/2024,dd1,,M6,2,e.coli,0.0005,0.01,34.5,34.5,10,10
23/04/2024,dd1,,M7,2,e.coli,0.005,0.01,319,319,10,10
30/04/2024,dd2,,M0,1,e.coli,0.0001,0.005,51,51,47,47
30/04/2024,dd2,,M1,1,e.coli,0.0005,0.005,202,202,47,47
30/04/2024,dd2,,M2,1,e.coli,0.001,0.005,339,339,47,47
30/04/2024,dd2,,M3,1,e.coli,0.00125,0.005,436,436,47,47
30/04/2024,dd2,,M4,2,control,0.0001,0.005,60,60,47,47
30/04/2024,dd2,,M5,2,e.coli,0.00025,0.005,112,112,47,47
30/04/2024,dd2,,M6,2,e.coli,0.00075,0.005,277,277,47,47
30/04/2024,dd2,,M7,2,e.coli,0.0015,0.005,547,547,47,47
22/05/2024,dd3,,M0,1,e.coli,0.0019,0.01,815,815,49,49
22/05/2024,dd3,,M1,1,e.coli,0.0001,0.01,64,64,49,49
22/05/2024,dd3,,M2,1,e.coli,0.0025,0.01,878,878,49,49
22/05/2024,dd3,,M3,1,e.coli,0.0017,0.01,765,765,49,49
22/05/2024,dd3,,M4,2,control,0.0001,0.01,161,161,49,49
22/05/2024,dd3,,M5,2,e.coli,0.0022,0.01,839,839,49,49
22/05/2024,dd3,,M6,2,e.coli,0.0012,0.01,220,220,49,49
22/05/2024,dd3,,M7,2,e.coli,0.0028,0.01,990,990,49,49
22/05/2024,dd3,,M0,1,e.coli,0.0019,0.01,648,1463,45,94
22/05/2024,dd3,,M1,1,e.coli,0.0001,0.01,39,103,45,94
22/05/2024,dd3,,M2,1,e.coli,0.0025,0.01,800,1678,45,94
22/05/2024,dd3,,M3,1,e.coli,0.0017,0.01,576,1341,45,94
22/05/2024,dd3,,M4,2,control,0.0001,0.01,44,205,45,94
22/05/2024,dd3,,M5,2,e.coli,0.0022,0.01,668,1507,45,94
22/05/2024,dd3,,M6,2,e.coli,0.0012,0.01,380,600,45,94
22/05/2024,dd3,,M7,2,e.coli,0.0028,0.01,806,1796,45,94
22/05/2024,dd3,,M2,1,e.coli,0.0025,0.01,378,2056,21.5,115.5
22/05/2024,dd3,,M7,2,e.coli,0.0028,0.01,360,2156,21.5,115.5
25/06/2024,dd4,,M0,1,e.coli,0.0028,0.01,470,470,21.6,21.6
25/06/2024,dd4,,M2,1,e.coli,0.003,0.01,485,485,21.6,21.6
25/06/2024,dd4,,M4,2,e.coli,0.0022,0.01,335,335,21.6,21.6
25/06/2024,dd4,,M5,2,e.coli,0.0024,0.01,395,395,21.6,21.6
25/06/2024,dd4,,M7,2,e.coli,0.0026,0.01,350,350,21.6,21.6
25/06/2024,dd4,,M7,2,e.coli,0.0026,0.01,880,1230,53.6,169.1
25/06/2024,dd4,,M7,2,e.coli,0.0026,0.01,405,1635,22.75,191.85
25/06/2024,dd4,,M2,1,e.coli,0.003,0.01,630,1115,28.5,144
25/06/2024,dd4,,M2,1,e.coli,0.003,0.01,1030,2145,47.8,191.8
25/06/2024,dd4,,M4,2,e.coli,0.0022,0.01,315,650,22.75,44.35
25/06/2024,dd4,,M4,2,e.coli,0.0022,0.01,780,1430,53.6,97.95
25/06/2024,dd4,,M5,2,e.coli,0.0024,0.01,960,1355,53.6,75.2
25/06/2024,dd4,,M5,2,e.coli,0.0024,0.01,420,1775,22.75,97.95
25/06/2024,dd4,,M0,1,e.coli,0.0028,0.01,600,1070,28.5,50.1
25/06/2024,dd4,,M0,1,e.coli,0.0028,0.01,990,2060,47.8,97.9
25/06/2024,dd4,,M1,1,e.coli,0.0001,0.01,80,80,98,98
25/06/2024,dd4,,M3,1,e.coli,0.00005,0.01,120,120,98,98
25/06/2024,dd4,,M6,2,control,0.0001,0.01,31,31,98,98
