"experiment_replicate","ID","inflow_setting","outflow_per_hour_mean","dilution_rate","od_blanked","cfu_ul","n","days"
"dd2","M1",5e-04,4.29787234042553,0.197981685612173,0.1864,905714.285714286,1,"2"
"dd2","M2",0.001,7.21276595744681,0.325186258058941,0.1644,778000,1,"2"
"dd2","M3",0.00125,9.27659574468085,0.412096920176978,0.1425,626000,1,"2"
"dd2","M5",0.00025,2.38297872340426,0.11138170208668,0.1898,846666.666666667,1,"2"
"dd2","M6",0.00075,5.8936170212766,0.268286418407967,0.159,612000,1,"2"
"dd2","M7",0.0015,11.6382978723404,0.508557076171447,0.1472,548888.888888889,1,"2"
"dd3","M0",0.0019,15.5163265306122,0.660515574160219,0.1628,488000,1,"4"
"dd3","M1",1e-04,1.08639455782313,0.0512920848541762,0.1659,554000,1,"4"
"dd3","M2",0.0025,17.7591801578513,0.745010746244375,0.053,123555.555555556,1,"4"
"dd3","M5",0.0022,15.9834467120181,0.678310706486979,0.1357,672000,1,"4"
"dd3","M7",0.0028,18.2864595967586,0.764534182998343,0.0938,510000,1,"4"
"dd4","M0",0.0028,21.1743959697788,0.869268188230964,0.0415,109322.222222222,2,"3-4"
"dd4","M1",1e-04,0.816326530612245,0.0386229988670455,0.1506,480000,1,"4"
"dd4","M2",0.003,22.0356946721367,0.899809137807121,0.02765,72200,2,"3-4"
"dd4","M3",5e-05,1.22448979591837,0.0577496176867427,0.1596,538000,1,"4"
"dd4","M4",0.0022,14.6358839704611,0.626685048639463,0.12895,423000,2,"1-2"
"dd4","M5",0.0024,18.2196744199232,0.762068361717215,0.07915,311000,2,"3-4"
"dd4","M7",0.0026,16.8079373178876,0.709464714763012,0.11665,436000,2,"3-4"
"dd6","M0",0.003,21.7708333333333,0.890450432106799,0.028,317500,1,"3"
"dd6","M2",5e-04,3.125,0.145236491360792,0.146,791000,2,"1-2"
"dd6","M3",0.0015,10.3125,0.454789200066485,0.115,779000,2,"1-2"
"dd6","M4",0.001,6.35416666666667,0.288274500826804,0.17,989333.333333333,2,"1-2"
"dd6","M6",0.0025,16.4583333333333,0.696294146582822,0.074,430000,1,"3"
"dd6","M7",0.002,13.9583333333333,0.600388270379285,0.119,528000,2,"1-2"
"dd7","M0",0.0025,16.4974992644896,0.697772516944277,0.1145,458555.555555556,2,"3-4"
"dd7","M1",0.001,7.55388841927303,0.339726198547682,0.1565,663000,2,"1-2"
"dd7","M3",0.002,11.3293357283742,0.496112926546195,0.1345,619000,2,"1-2"
"dd7","M4",1e-04,0.828754578754579,0.039207183454823,0.173,776000,1,"4"
"dd7","M5",0.003,20.5633629191321,0.847411365145979,0.0195,50500,2,"3-4"
"dd7","M6",5e-04,2.93762327416174,0.136723400513556,0.154,897000,2,"1-2"
"dd7","M7",0.0015,9.86202099182868,0.436298408459877,0.175,829888.888888889,2,"1-2"
